Project Name	Start Time	Elapsed Time	Momentary Overload	LAeq	LAF1,0	LAF5,0	LAF10,0	LAF50,0	LAF90,0	LAF95,0	LAF99,0	StdDev	NC	NCDecisiveBand	NR	NRDecisiveBand	NCB	NCBCriteria	RC	RCCriteria	Loudness	Loudness_Level	exclude	bull	truck	Marker4	Marker5	Sound	Sound Path	Comment	Comment Path	Note	Note Path	Image	Image Path	Attachment	Marker6	Marker7	Marker8	Marker9	Marker10	Time	
GL 22  007	16/11/2021 8:56:07	00:00:01	0	35,91									30,00	1000,00	32,00	1000,00	28,00	(H)	30,00	(HF) Marginal	2,33	52,22	1	0	0	0	0	1	L:\M05\GELUID\Projecten\stiltegebied Moervaartvallei\metingen\2021herfst\stilte2021herfst\Users\2250\Top.Job\GL 22  007.LoggingCPB.Project\ProfileAnnotations.PAnnotations\SR0.wav	0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:08	00:00:01	0	36,99	39,80	39,30	38,80	35,80	34,23	34,11	34,02	1,55	33,00	2000,00	35,00	2000,00	30,00	(H)	31,00	(HF) Objectionable	2,53	53,40	1	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:09	00:00:01	0	39,65	45,40	44,40	43,40	38,65	35,40	34,80	34,20	2,94	37,00	1000,00	38,00	1000,00	31,00	(H)	33,00	(HF) Objectionable	2,69	54,28	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:10	00:00:01	0	34,01	34,73	34,56	34,47	33,87	33,50	33,45	33,41	0,35	29,00	1000,00	31,00	1000,00	25,00	(H)	27,00	(HF) Marginal	1,77	48,25	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:11	00:00:01	0	34,62	35,73	35,52	35,30	34,53	34,16	34,08	34,01	0,42	30,00	1000,00	32,00	1000,00	26,00	(H)	28,00	(HF) Marginal	1,85	48,84	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:12	00:00:01	0	34,74	35,38	35,32	35,24	34,77	34,10	34,04	33,90	0,40	31,00	2000,00	33,00	2000,00	25,00	(H)	28,00	(HF) Marginal	1,80	48,45	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:13	00:00:01	0	34,98	35,78	35,70	35,61	34,86	34,35	34,27	34,21	0,44	30,00	1000,00	32,00	1000,00	26,00	(H)	28,00	(HF) Objectionable	1,90	49,28	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:14	00:00:01	0	34,98	35,93	35,75	35,62	34,77	34,32	34,26	34,21	0,46	30,00	1000,00	32,00	1000,00	25,00	(H)	28,00	(HF) Marginal	1,89	49,19	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:15	00:00:01	0	35,79	36,19	36,15	36,10	35,81	35,50	35,45	35,41	0,20	32,00	1000,00	33,00	1000,00	26,00	(H)	29,00	(HF) Marginal	1,94	49,57	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:16	00:00:01	0	34,90	35,60	35,40	35,35	35,01	34,41	34,31	34,22	0,36	30,00	1000,00	32,00	1000,00	27,00	(H)	28,00	(HF) Objectionable	1,96	49,72	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:17	00:00:01	0	34,67	35,73	35,53	35,38	34,72	34,20	34,08	34,00	0,44	30,00	1000,00	32,00	1000,00	26,00	(H)	28,00	(HF) Marginal	1,80	48,46	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:18	00:00:01	0	33,84	34,96	34,83	34,75	33,91	33,24	33,20	33,04	0,58	29,00	1000,00	31,00	1000,00	24,00	(H)	27,00	(HF) Marginal	1,57	46,54	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:19	00:00:01	0	34,81	38,80	38,00	36,80	33,95	33,60	33,30	33,06	1,38	30,00	1000,00	32,00	1000,00	26,00	(H)	29,00	(HF) Objectionable	1,67	47,36	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:20	00:00:01	0	37,24	42,20	41,00	40,60	35,00	33,38	33,29	33,21	2,66	33,00	2000,00	35,00	2000,00	30,00	(H)	31,00	(HF) Objectionable	2,40	52,65	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:21	00:00:01	0	34,20	34,75	34,58	34,52	34,14	33,89	33,84	33,80	0,22	29,00	1000,00	31,00	1000,00	26,00	(H)	28,00	(HF) Objectionable	1,71	47,71	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:22	00:00:01	0	34,96	35,58	35,50	35,41	34,87	34,24	34,20	34,05	0,45	30,00	1000,00	32,00	1000,00	27,00	(H)	29,00	(HF) Objectionable	1,88	49,09	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:23	00:00:01	0	37,07	41,20	40,60	39,60	35,89	35,46	35,42	35,30	1,64	34,00	2000,00	36,00	2000,00	29,00	(H)	31,00	(HF) Objectionable	2,23	51,57	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:24	00:00:01	0	36,06	37,20	37,00	36,78	35,74	34,97	34,85	34,66	0,72	32,00	1000,00	34,00	2000,00	28,00	(H)	30,00	(HF) Objectionable	2,05	50,34	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:25	00:00:01	0	37,40	40,10	39,60	38,80	36,86	36,41	36,31	36,22	0,99	34,00	1000,00	35,00	1000,00	29,00	(H)	31,00	(HF) Objectionable	2,37	52,42	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:26	00:00:01	0	38,62	40,90	40,40	39,85	37,90	36,62	36,44	36,25	1,30	34,00	1000,00	36,00	2000,00	31,00	(H)	32,00	(HF) Objectionable	2,88	55,26	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:27	00:00:01	0	38,99	40,70	40,45	40,15	38,71	37,91	37,83	37,66	0,82	35,00	2000,00	37,00	2000,00	30,00	(H)	32,00	(HF) Objectionable	2,88	55,27	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:28	00:00:01	0	38,80	39,73	39,50	39,28	38,78	38,20	38,08	38,00	0,41	35,00	1000,00	36,00	1000,00	30,00	(H)	32,00	(HF) Marginal	2,66	54,14	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:29	00:00:01	0	39,41	41,33	40,80	40,20	39,29	38,92	38,82	38,65	0,57	35,00	1000,00	37,00	2000,00	32,00	(H)	33,00	(HF) Objectionable	3,07	56,17	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:30	00:00:01	0	39,36	40,70	40,48	40,20	39,18	38,71	38,65	38,60	0,55	36,00	1000,00	37,00	1000,00	32,00	(H)	33,00	(HF) Objectionable	2,99	55,80	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:31	00:00:01	0	37,95	38,78	38,74	38,69	38,33	37,12	37,02	36,85	0,56	34,00	1000,00	35,00	1000,00	30,00	(H)	32,00	(HF) Objectionable	2,43	52,82	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:32	00:00:01	0	37,70	38,16	38,03	37,96	37,61	36,98	36,88	36,80	0,34	34,00	1000,00	36,00	1000,00	29,00	(H)	32,00	(HF) Marginal	2,32	52,16	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:33	00:00:01	0	37,35	38,75	38,58	38,53	37,40	36,30	36,23	36,10	0,92	34,00	1000,00	35,00	1000,00	28,00	(H)	31,00	(HF) Objectionable	2,21	51,41	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:34	00:00:01	0	36,25	37,36	37,23	36,98	36,37	35,60	35,40	35,20	0,52	32,00	1000,00	34,00	1000,00	27,00	(H)	30,00	(HF) Marginal	2,11	50,79	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:35	00:00:01	0	35,29	35,97	35,85	35,57	35,25	34,89	34,81	34,65	0,28	31,00	1000,00	33,00	1000,00	27,00	(H)	29,00	(HF) Objectionable	1,97	49,77	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:36	00:00:01	0	36,27	37,80	37,73	37,65	36,10	34,53	34,42	34,25	1,07	31,00	2000,00	35,00	4000,00	29,00	(H)	29,00	(HF) Objectionable	2,36	52,37	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:37	00:00:01	0	37,17	38,93	38,60	38,00	36,72	35,66	35,52	35,42	0,89	33,00	1000,00	35,00	1000,00	30,00	(H)	31,00	(HF) Objectionable	2,52	53,35	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:38	00:00:01	0	36,92	39,73	39,50	39,00	36,75	35,56	35,40	35,24	1,23	32,00	4000,00	35,00	4000,00	30,00	(H)	30,00	(HF) Objectionable	2,62	53,92	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:56:39	00:00:01	0	36,92	39,16	39,00	38,68	37,14	34,75	34,40	33,90	1,45	32,00	2000,00	35,00	8000,00	30,00	(H)	30,00	(HF) Objectionable	2,54	53,45	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
