isodatetime	laeq1s	exclude	bull	truck	sound	soundpath	laf1	laf5	laf10	laf50	laf90	laf95	laf99
2021-11-16 08:56:07	35.91	1.0			1	SR0.wav							
2021-11-16 08:56:08	36.99	1.0			1		39.8	39.3	38.8	35.8	34.23	34.11	34.02
2021-11-16 08:56:09	39.65				1		45.4	44.4	43.4	38.65	35.4	34.8	34.2
2021-11-16 08:56:10	34.01				1		34.73	34.56	34.47	33.87	33.5	33.45	33.41
2021-11-16 08:56:11	34.62				1		35.73	35.52	35.3	34.53	34.16	34.08	34.01
2021-11-16 08:56:12	34.74				1		35.38	35.32	35.24	34.77	34.1	34.04	33.9
2021-11-16 08:56:13	34.98				1		35.78	35.7	35.61	34.86	34.35	34.27	34.21
2021-11-16 08:56:14	34.98				1		35.93	35.75	35.62	34.77	34.32	34.26	34.21
2021-11-16 08:56:15	35.79				1		36.19	36.15	36.1	35.81	35.5	35.45	35.41
2021-11-16 08:56:16	34.9				1		35.6	35.4	35.35	35.01	34.41	34.31	34.22
2021-11-16 08:56:17	34.67				1		35.73	35.53	35.38	34.72	34.2	34.08	34.0
2021-11-16 08:56:18	33.84				1		34.96	34.83	34.75	33.91	33.24	33.2	33.04
2021-11-16 08:56:19	34.81				1		38.8	38.0	36.8	33.95	33.6	33.3	33.06
2021-11-16 08:56:20	37.24				1		42.2	41.0	40.6	35.0	33.38	33.29	33.21
2021-11-16 08:56:21	34.2				1		34.75	34.58	34.52	34.14	33.89	33.84	33.8
2021-11-16 08:56:22	34.96				1		35.58	35.5	35.41	34.87	34.24	34.2	34.05
2021-11-16 08:56:23	37.07				1		41.2	40.6	39.6	35.89	35.46	35.42	35.3
2021-11-16 08:56:24	36.06				1		37.2	37.0	36.78	35.74	34.97	34.85	34.66
2021-11-16 08:56:25	37.4				1		40.1	39.6	38.8	36.86	36.41	36.31	36.22
2021-11-16 08:56:26	38.62				1		40.9	40.4	39.85	37.9	36.62	36.44	36.25
2021-11-16 08:56:27	38.99				1		40.7	40.45	40.15	38.71	37.91	37.83	37.66
2021-11-16 08:56:28	38.8				1		39.73	39.5	39.28	38.78	38.2	38.08	38.0
2021-11-16 08:56:29	39.41				1		41.33	40.8	40.2	39.29	38.92	38.82	38.65
2021-11-16 08:56:30	39.36				1		40.7	40.48	40.2	39.18	38.71	38.65	38.6
2021-11-16 08:56:31	37.95				1		38.78	38.74	38.69	38.33	37.12	37.02	36.85
2021-11-16 08:56:32	37.7				1		38.16	38.03	37.96	37.61	36.98	36.88	36.8
2021-11-16 08:56:33	37.35				1		38.75	38.58	38.53	37.4	36.3	36.23	36.1
2021-11-16 08:56:34	36.25				1		37.36	37.23	36.98	36.37	35.6	35.4	35.2
2021-11-16 08:56:35	35.29				1		35.97	35.85	35.57	35.25	34.89	34.81	34.65
2021-11-16 08:56:36	36.27				1		37.8	37.73	37.65	36.1	34.53	34.42	34.25
2021-11-16 08:56:37	37.17				1		38.93	38.6	38.0	36.72	35.66	35.52	35.42
2021-11-16 08:56:38	36.92				1		39.73	39.5	39.0	36.75	35.56	35.4	35.24
2021-11-16 08:56:39	36.92				1		39.16	39.0	38.68	37.14	34.75	34.4	33.9
2021-11-16 08:56:40	33.72				1		34.96	34.83	34.68	33.67	32.7	32.62	32.46
2021-11-16 08:56:41	31.37				1		33.96	33.83	33.6	31.18	30.47	30.4	30.24
2021-11-16 08:56:42	30.69				1		32.16	32.03	31.84	30.85	29.73	29.66	29.6
2021-11-16 08:56:43	30.06				1		31.73	31.5	31.28	29.72	29.14	29.05	28.9
2021-11-16 08:56:44	32.76				1		37.4	36.4	35.3	31.85	30.29	30.2	30.04
2021-11-16 08:56:45	30.46				1		31.95	31.75	31.46	30.25	29.69	29.61	29.45
2021-11-16 08:56:46	31.53				1		32.7	32.4	32.3	31.6	31.06	31.02	31.0
2021-11-16 08:56:47	31.06				1		32.8	32.2	31.6	30.66	29.9	29.81	29.6
2021-11-16 08:56:48	32.79				1		34.53	34.33	34.13	32.93	31.44	31.2	31.0
2021-11-16 08:56:49	33.74				1		36.16	36.0	35.71	31.83	31.0	30.9	30.82
2021-11-16 08:56:50	36.18				1		39.4	38.8	37.6	35.6	34.47	34.2	33.6
2021-11-16 08:56:51	33.36				1		37.2	36.5	36.05	34.06	32.14	32.0	31.7
2021-11-16 08:56:52	37.88				1		41.15	40.93	40.65	34.7	32.33	32.0	31.84
2021-11-16 08:56:53	34.85				1		40.1	39.5	38.8	35.28	33.55	33.26	33.05
2021-11-16 08:56:54	33.42				1		35.95	35.6	35.2	32.44	31.25	31.11	31.0
2021-11-16 08:56:55	30.28				1		34.3	33.6	32.9	30.56	29.54	29.47	29.41
