isodatetime	laeq1s	exclude	Sound	soundpath	laf1	laf5	laf10	laf50	laf90	laf95	laf99	lafmin	lafmax	lzeq25hz	lzeq31.5hz	lzeq40hz	lzeq50hz	lzeq63hz	lzeq80hz	lzeq100hz	lzeq125hz	lzeq160hz	lzeq200hz	lzeq250hz	lzeq315hz	lzeq400hz	lzeq500hz	lzeq630hz	lzeq800hz	lzeq1khz	lzeq1.25khz	lzeq1.6khz	lzeq2khz	lzeq2.5khz	lzeq3.15khz	lzeq4khz	lzeq5khz	lzeq6.3khz	lzeq8khz	lzeq10khz	lzeq12.5khz	lzeq16khz	lzeq20khz
2021-09-15 22:17:08	44.74		1	SR7.wav	46.93	46.66	46.33	44.93	43.7	43.53	43.4	43.23	46.86	47.5	51.78	48.26	47.82	53.55	48.23	44.92	47.44	45.19	43.41	41.26	38.6	36.34	32.97	34.65	37.09	36.49	34.08	31.33	29.43	27.41	25.24	23.6	22.46	22.44	20.02	16.46	11.51	8.38	8.48
2021-09-15 22:17:09	42.67		1		43.53	43.35	43.24	42.77	42.44	42.41	42.26	42.3	43.58	49.45	46.01	47.45	47.7	52.13	43.62	42.05	42.23	40.0	35.24	35.69	34.55	31.66	33.9	36.49	36.22	35.75	31.9	28.95	25.04	23.3	20.36	19.2	19.81	20.15	18.87	16.17	11.37	8.47	8.35
2021-09-15 22:17:10	42.8		1		44.4	44.2	43.4	42.41	41.77	41.62	41.45	41.51	44.45	45.4	46.07	49.14	47.52	45.24	39.99	38.97	40.33	38.63	36.15	36.73	36.44	35.76	35.42	35.13	36.62	35.07	31.6	29.16	26.47	24.41	22.99	20.67	19.4	20.08	18.75	16.16	11.42	8.39	8.47
2021-09-15 22:17:11	42.0		1		44.7	44.3	43.6	42.11	41.34	41.2	41.0	40.96	44.69	44.19	46.68	45.21	46.85	45.63	40.14	41.44	39.48	38.51	37.43	38.68	36.68	31.71	32.1	33.11	35.12	34.16	32.28	29.26	26.6	24.32	21.14	19.38	20.25	20.2	19.7	15.81	11.32	8.4	8.4
2021-09-15 22:17:12	42.96		1		43.96	43.83	43.74	42.95	41.95	41.82	41.6	41.53	43.95	44.33	42.35	44.89	45.82	48.03	41.75	38.54	37.35	39.32	37.02	33.69	32.9	35.04	34.91	34.33	37.3	36.01	32.28	28.43	26.75	24.58	23.24	21.93	20.86	20.61	18.09	14.82	11.0	8.38	8.38
2021-09-15 22:17:13	43.52		1		45.8	43.6	43.48	43.02	42.04	41.94	41.82	41.9	45.94	40.91	45.23	46.69	45.44	44.58	43.75	38.87	39.18	40.85	38.2	37.87	36.84	34.72	33.45	36.0	37.34	36.38	32.65	29.24	26.85	26.03	23.45	22.1	22.23	21.36	19.93	15.42	10.89	8.37	8.51
2021-09-15 22:17:14	46.71		1		50.8	50.6	50.43	45.2	42.17	42.02	41.85	41.85	50.82	44.4	44.93	45.82	46.4	45.89	42.66	43.79	42.87	42.36	43.13	44.55	42.05	35.59	35.32	42.65	39.42	37.91	34.14	31.64	30.75	29.29	25.33	23.2	21.76	20.42	18.52	15.74	11.46	8.34	8.41
2021-09-15 22:17:15	51.44		1		56.7	56.45	55.9	48.0	42.8	42.65	42.3	42.18	56.83	43.74	43.15	47.45	45.49	45.25	41.7	42.87	42.15	47.44	47.14	48.73	48.55	46.17	40.73	44.23	45.42	42.78	37.85	35.53	35.04	33.15	29.78	27.08	27.15	25.12	22.55	16.78	11.8	8.54	8.43
2021-09-15 22:17:16	53.57		1		59.2	58.95	58.66	49.2	42.14	42.04	41.86	41.9	59.28	44.81	42.15	44.93	44.07	45.25	40.19	42.9	46.14	48.84	48.55	50.84	49.63	47.31	41.37	48.24	46.67	41.67	40.3	39.17	38.35	39.03	37.65	33.44	34.33	34.38	30.15	20.87	13.08	8.48	8.41
2021-09-15 22:17:17	47.6		1		52.7	52.4	51.7	45.8	42.4	42.0	41.8	41.61	52.69	42.28	38.85	46.82	46.12	44.32	42.16	42.55	43.63	43.24	45.43	45.72	44.59	41.01	36.4	35.85	38.71	40.45	35.98	33.53	33.76	31.9	28.68	27.79	27.99	27.31	25.27	18.29	11.91	8.33	8.34
2021-09-15 22:17:18	59.45		1		65.36	65.2	64.9	54.4	41.16	41.07	41.0	40.91	65.34	42.61	43.43	43.13	47.08	45.59	45.27	45.62	49.91	52.77	53.71	54.06	54.51	54.22	46.9	54.05	54.11	48.92	44.97	43.2	43.26	42.88	43.44	40.81	41.8	40.9	38.38	24.57	14.2	8.82	8.38
2021-09-15 22:17:19	53.59		1		58.1	57.9	57.66	52.33	48.4	47.7	47.3	47.29	58.29	54.71	55.6	56.9	57.63	53.49	58.43	53.12	54.13	53.07	53.37	53.51	51.7	45.55	45.03	42.67	43.88	43.74	39.31	39.79	36.34	34.43	34.91	35.26	34.88	33.57	31.9	25.27	13.54	8.76	8.51
