Project Name	Start Time	Elapsed Time	Momentary Overload	LAeq	LAF1,0	LAF5,0	LAF10,0	LAF50,0	LAF90,0	LAF95,0	LAF99,0	StdDev	NC	NCDecisiveBand	NR	NRDecisiveBand	NCB	NCBCriteria	RC	RCCriteria	Loudness	Loudness_Level	Exclude	chill	chillpiek	klop	andere	Sound	Sound Path	Comment	Comment Path	Note	Note Path	Image	Image Path	Attachment	Marker6	Marker7	Marker8	Marker9	Marker10	Time	
GL75-021	30/07/2023 10:53:52	00:00:01	0	29,08									23,00	1000,00	26,00	2000,00	22,00	(H)		(HF) Objectionable	1,00	39,95	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:53:53	00:00:01	0	26,84	28,90	28,40	28,16	27,10	26,08	25,92	25,70	0,85	21,00	1000,00	24,00	8000,00	19,00	(H)		(HF) Objectionable	0,69	35,16	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:53:54	00:00:01	0	25,73	26,30	26,14	26,04	25,72	25,33	25,26	25,21	0,26	20,00	1000,00	22,00	1000,00	18,00	(H)		(HF) Objectionable	0,52	31,83	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:53:55	00:00:01	0	29,56	33,95	33,73	33,00	26,26	25,82	25,74	25,62	2,87	28,00	8000,00	32,00	8000,00	21,00	(H)		(HF) Objectionable	1,07	40,92	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:53:56	00:00:01	0	25,58	28,40	28,06	27,40	25,58	25,10	25,02	24,86	0,91	20,00	1000,00	22,00	1000,00	17,00	(H)		(HF) Objectionable	0,51	31,57	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:53:57	00:00:01	0	26,65	28,36	28,23	28,04	25,96	25,37	25,25	25,06	1,00	22,00	8000,00	26,00	8000,00	19,00	(H)		(HF) Objectionable	0,70	35,24	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:53:58	00:00:01	0	26,56	27,40	27,20	27,08	26,56	26,21	26,12	26,02	0,34	21,00	1000,00	23,00	1000,00	18,00	(H)		(HF) Objectionable	0,59	33,26	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:53:59	00:00:01	0	26,19	27,38	27,30	27,21	26,13	25,50	25,44	25,40	0,67	21,00	1000,00	23,00	1000,00	18,00	(H)		(HF) Objectionable	0,55	32,54	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:00	00:00:01	0	26,05	26,56	26,40	26,36	26,09	25,81	25,74	25,62	0,21	21,00	1000,00	23,00	1000,00	18,00	(H)		(HF) Objectionable	0,55	32,46	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:01	00:00:01	0	26,50	27,17	27,07	26,96	26,30	26,00	25,90	25,82	0,35	21,00	1000,00	23,00	1000,00	18,00	(H)		(HF) Objectionable	0,57	32,81	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:02	00:00:01	0	26,61	27,20	27,12	27,02	26,71	26,30	26,10	25,86	0,28	22,00	1000,00	24,00	1000,00	18,00	(H)		(HF) Objectionable	0,56	32,68	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:03	00:00:01	0	28,01	28,96	28,83	28,70	27,80	26,41	26,26	26,00	0,89	23,00	1000,00	25,00	1000,00	19,00	(H)		(HF) Objectionable	0,69	35,16	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:04	00:00:01	0	28,49	29,33	29,17	29,10	28,47	28,11	28,04	27,90	0,36	24,00	1000,00	26,00	1000,00	19,00	(H)		(HF) Objectionable	0,70	35,26	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:05	00:00:01	0	28,59	29,35	29,13	28,78	28,41	27,96	27,80	27,64	0,35	24,00	1000,00	26,00	1000,00	20,00	(H)		(HF) Objectionable	0,72	35,61	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:06	00:00:01	0	29,61	30,18	30,12	30,04	29,56	29,23	29,16	29,03	0,29	25,00	1000,00	27,00	1000,00	20,00	(H)		(HF) Objectionable	0,78	36,64	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:07	00:00:01	0	29,28	29,96	29,80	29,73	29,26	28,56	28,48	28,41	0,42	25,00	1000,00	27,00	1000,00	20,00	(H)		(HF) Objectionable	0,74	36,08	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:08	00:00:01	0	29,40	29,98	29,90	29,80	29,37	29,13	29,06	29,01	0,24	25,00	1000,00	27,00	1000,00	20,00	(H)		(HF) Objectionable	0,77	36,46	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:09	00:00:01	0	29,74	30,40	30,26	30,11	29,67	29,28	29,16	29,03	0,31	25,00	1000,00	27,00	1000,00	20,00	(H)		(HF) Objectionable	0,79	36,91	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:10	00:00:01	0	30,02	30,93	30,77	30,70	30,15	29,35	29,24	29,06	0,49	26,00	1000,00	28,00	1000,00	20,00	(H)		(HF) Objectionable	0,82	37,26	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:11	00:00:01	0	29,63	30,36	30,20	30,15	29,71	29,11	29,03	28,86	0,38	25,00	1000,00	27,00	1000,00	20,00	(H)		(HF) Objectionable	0,80	36,99	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:12	00:00:01	0	28,83	29,37	29,25	29,16	28,84	28,61	28,54	28,42	0,20	24,00	1000,00	26,00	1000,00	20,00	(H)		(HF) Objectionable	0,73	35,89	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:13	00:00:01	0	28,44	29,00	28,96	28,91	28,58	27,92	27,86	27,81	0,35	24,00	1000,00	26,00	1000,00	20,00	(H)		(HF) Objectionable	0,71	35,54	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:14	00:00:01	0	29,24	30,17	30,05	29,90	29,24	28,24	28,15	27,90	0,62	25,00	1000,00	27,00	1000,00	20,00	(H)		(HF) Objectionable	0,78	36,66	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:15	00:00:01	0	29,31	29,73	29,58	29,55	29,32	29,04	28,96	28,80	0,19	24,00	1000,00	27,00	2000,00	20,00	(H)		(HF) Objectionable	0,82	37,34	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:16	00:00:01	0	28,56	29,50	29,20	29,08	28,78	28,18	28,09	28,01	0,33	24,00	1000,00	26,00	1000,00	20,00	(H)		(HF) Objectionable	0,75	36,18	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:17	00:00:01	0	32,44	37,70	37,40	36,80	29,60	28,03	27,84	27,65	3,30	30,00	4000,00	34,00	4000,00	24,00	(H)		(HF) Objectionable	1,49	45,70	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:18	00:00:01	0	28,19	29,16	29,00	28,92	27,92	27,08	27,01	26,85	0,72	23,00	1000,00	26,00	2000,00	19,00	(H)		(HF) Objectionable	0,68	35,01	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:19	00:00:01	0	29,59	31,80	31,60	31,36	29,20	28,23	28,12	28,02	1,14	25,00	1000,00	27,00	1000,00	20,00	(H)		(HF) Objectionable	0,80	36,92	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:20	00:00:01	0	27,65	28,40	28,30	28,18	27,72	27,42	27,30	27,05	0,30	23,00	2000,00	25,00	2000,00	19,00	(H)		(HF) Marginal	0,67	34,83	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:21	00:00:01	0	27,12	27,90	27,68	27,48	27,05	26,85	26,82	26,80	0,24	22,00	1000,00	24,00	1000,00	19,00	(H)		(HF) Marginal	0,62	33,87	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:22	00:00:01	0	27,37	27,93	27,78	27,74	27,30	27,05	27,02	27,00	0,26	22,00	1000,00	25,00	2000,00	19,00	(H)		(HF) Objectionable	0,63	34,04	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:23	00:00:01	0	27,34	28,20	27,98	27,92	27,52	26,63	26,51	26,42	0,46	22,00	1000,00	24,00	1000,00	19,00	(H)		(HF) Objectionable	0,63	33,94	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:24	00:00:01	0	25,47	26,60	26,40	26,17	25,49	25,25	25,22	25,20	0,36	19,00	1000,00	22,00	1000,00	17,00	(H)		(HF) Marginal	0,50	31,44	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:25	00:00:01	0	26,35	27,16	27,03	26,94	26,09	25,45	25,41	25,26	0,56	21,00	1000,00	23,00	1000,00	18,00	(H)		(HF) Objectionable	0,57	32,81	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:26	00:00:01	0	27,27	28,00	27,90	27,78	27,11	26,69	26,62	26,46	0,41	22,00	1000,00	25,00	2000,00	18,00	(H)		(HF) Objectionable	0,61	33,56	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:27	00:00:01	0	27,11	28,10	27,94	27,85	27,22	26,65	26,60	26,44	0,45	22,00	1000,00	25,00	2000,00	18,00	(H)		(HF) Marginal	0,59	33,23	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:28	00:00:01	0	26,55	27,13	26,96	26,86	26,53	26,26	26,23	26,20	0,22	21,00	1000,00	24,00	2000,00	18,00	(H)		(HF) Marginal	0,56	32,74	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:29	00:00:01	0	26,85	27,95	27,78	27,71	26,71	25,96	25,87	25,80	0,60	21,00	1000,00	24,00	2000,00	18,00	(H)		(HF) Objectionable	0,60	33,52	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:30	00:00:01	0	27,26	28,00	27,88	27,72	27,25	26,55	26,47	26,41	0,44	22,00	1000,00	25,00	2000,00	18,00	(H)		(HF) Objectionable	0,60	33,48	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:31	00:00:01	0	26,98	27,70	27,45	27,36	27,00	26,51	26,36	26,23	0,32	22,00	1000,00	25,00	2000,00	18,00	(H)		(HF) Objectionable	0,58	32,99	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:32	00:00:01	0	26,97	27,60	27,46	27,34	26,93	26,64	26,60	26,44	0,26	22,00	1000,00	24,00	1000,00	18,00	(H)		(HF) Objectionable	0,57	32,89	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:33	00:00:01	0	26,80	27,58	27,50	27,40	27,00	25,92	25,84	25,70	0,55	22,00	2000,00	24,00	2000,00	18,00	(H)		(HF) Objectionable	0,57	32,83	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:34	00:00:01	0	26,55	27,38	27,31	27,23	26,52	26,23	26,20	26,05	0,37	21,00	1000,00	24,00	2000,00	18,00	(H)		(HF) Objectionable	0,55	32,54	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:35	00:00:01	0	25,81	26,55	26,39	26,35	25,93	25,40	25,31	25,22	0,37	20,00	1000,00	23,00	2000,00	17,00	(H)		(HF) Objectionable	0,52	31,81	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:36	00:00:01	0	25,95	26,76	26,60	26,53	25,86	25,40	25,28	25,20	0,44	20,00	1000,00	23,00	2000,00	18,00	(H)		(HF) Objectionable	0,53	32,04	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:37	00:00:01	0	25,33	26,38	26,30	26,20	25,17	24,84	24,80	24,64	0,50	19,00	1000,00	22,00	2000,00	17,00	(H)		(HF) Marginal	0,50	31,33	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:38	00:00:01	0	24,73	25,18	25,14	25,08	24,76	24,58	24,48	24,40	0,19	19,00	2000,00	22,00	2000,00	16,00	(H)		(HF) Objectionable	0,45	30,31	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:39	00:00:01	0	24,96	26,17	26,05	25,80	24,57	24,41	24,36	24,23	0,53	19,00	2000,00	22,00	2000,00	17,00	(H)		(HF) Objectionable	0,49	31,26	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:40	00:00:01	0	24,42	25,73	25,46	25,28	24,48	24,15	24,07	24,01	0,41	18,00	2000,00	21,00	2000,00	16,00	(H)		(HF) Marginal	0,43	29,88	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:41	00:00:01	0	25,98	28,36	28,20	27,80	25,66	24,32	24,26	24,21	1,27	20,00	2000,00	23,00	2000,00	18,00	(H)		(HF) Objectionable	0,62	33,85	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:42	00:00:01	0	25,66	26,38	26,30	26,20	25,63	25,30	25,23	25,10	0,31	20,00	1000,00	22,00	1000,00	17,00	(H)		(HF) Marginal	0,53	32,04	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:43	00:00:01	0	26,51	26,93	26,78	26,74	26,47	26,06	25,75	25,50	0,28	21,00	1000,00	24,00	2000,00	18,00	(H)		(HF) Objectionable	0,57	32,79	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:44	00:00:01	0	27,06	27,80	27,25	27,16	26,89	26,52	26,34	26,22	0,27	22,00	1000,00	25,00	2000,00	18,00	(H)		(HF) Objectionable	0,61	33,64	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:45	00:00:01	0	26,92	28,58	28,51	28,43	26,72	26,35	26,22	26,00	0,75	21,00	1000,00	24,00	2000,00	18,00	(H)		(HF) Objectionable	0,59	33,32	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:46	00:00:01	0	26,91	28,20	28,10	27,90	26,59	26,32	26,25	26,20	0,59	22,00	2000,00	25,00	2000,00	18,00	(H)		(HF) Objectionable	0,60	33,42	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:47	00:00:01	0	26,94	27,80	27,68	27,56	26,85	26,32	26,20	26,04	0,46	22,00	1000,00	24,00	1000,00	18,00	(H)		(HF) Objectionable	0,61	33,58	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:48	00:00:01	0	27,06	27,70	27,54	27,44	27,13	26,21	26,06	25,86	0,48	22,00	1000,00	24,00	1000,00	18,00	(H)		(HF) Marginal	0,61	33,60	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:49	00:00:01	0	27,99	28,55	28,36	28,20	27,90	27,61	27,36	27,23	0,26	23,00	1000,00	26,00	2000,00	19,00	(H)		(HF) Objectionable	0,67	34,74	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
GL75-021	30/07/2023 10:54:50	00:00:01	0	27,58	29,00	28,92	28,83	27,48	26,40	26,28	26,20	0,84	22,00	1000,00	25,00	2000,00	19,00	(H)		(HF) Marginal	0,64	34,26	0	0	0	0	0	0		0		0		0		0	0	0	0	0	0	0	
