Project Name	Start Time	Elapsed Time	LZeq 12.5Hz	LZeq 16Hz	LZeq 20Hz	LZeq 25Hz	LZeq 31.5Hz	LZeq 40Hz	LZeq 50Hz	LZeq 63Hz	LZeq 80Hz	LZeq 100Hz	LZeq 125Hz	LZeq 160Hz	LZeq 200Hz	LZeq 250Hz	LZeq 315Hz	LZeq 400Hz	LZeq 500Hz	LZeq 630Hz	LZeq 800Hz	LZeq 1kHz	LZeq 1.25kHz	LZeq 1.6kHz	LZeq 2kHz	LZeq 2.5kHz	LZeq 3.15kHz	LZeq 4kHz	LZeq 5kHz	LZeq 6.3kHz	LZeq 8kHz	LZeq 10kHz	LZeq 12.5kHz	LZeq 16kHz	LZeq 20kHz	
GL75-021	30/07/2023 10:53:52	00:00:01	27,47	32,10	46,41	44,00	35,92	43,68	34,96	32,93	24,46	33,15	27,00	24,74	24,17	22,53	17,61	18,15	15,17	13,47	15,13	18,92	21,83	20,75	14,31	12,35	11,98	16,19	14,18	11,21	11,90	10,72	9,62	12,52	14,38	
GL75-021	30/07/2023 10:53:53	00:00:01	24,99	30,65	43,41	36,89	33,25	36,71	31,25	27,59	21,97	32,70	21,38	18,87	20,96	19,86	17,49	14,88	12,77	12,12	12,61	17,39	19,93	18,03	11,45	10,53	10,03	10,68	12,10	12,08	12,42	9,37	8,46	11,06	13,77	
GL75-021	30/07/2023 10:53:54	00:00:01	22,78	34,99	43,91	34,56	28,17	36,46	29,78	26,70	22,43	32,78	19,46	17,99	17,73	16,01	14,50	15,12	11,79	9,58	11,93	17,06	19,36	17,42	10,06	8,90	6,95	7,21	8,18	9,18	9,39	7,77	8,12	10,95	13,57	
GL75-021	30/07/2023 10:53:55	00:00:01	24,35	30,01	41,45	34,60	32,35	33,99	31,61	27,71	21,85	32,75	18,51	17,13	19,45	17,65	15,27	15,04	11,95	11,45	15,33	17,86	19,80	19,42	16,64	15,28	17,91	16,02	14,55	19,66	20,57	19,43	11,67	14,25	17,37	
GL75-021	30/07/2023 10:53:56	00:00:01	21,55	30,00	39,58	32,42	32,53	35,51	29,04	27,35	23,88	32,63	21,82	17,03	19,74	17,11	15,63	13,48	9,76	9,70	12,15	16,63	19,28	17,11	9,94	8,01	7,28	7,16	7,77	8,84	9,38	8,45	8,25	11,04	13,92	
GL75-021	30/07/2023 10:53:57	00:00:01	18,07	31,33	39,23	35,04	30,00	39,75	29,37	26,86	22,56	32,75	20,70	16,50	19,08	17,43	14,83	14,58	11,57	10,86	13,58	16,98	18,54	17,59	12,00	11,65	12,21	12,39	12,28	13,55	14,32	10,69	8,58	10,93	13,72	
GL75-021	30/07/2023 10:53:58	00:00:01	22,77	29,72	40,02	37,47	29,43	38,68	30,59	27,45	21,76	32,51	19,88	18,40	19,46	16,09	15,04	13,76	12,87	10,96	13,46	18,35	20,19	18,30	10,73	9,60	8,37	7,97	8,68	9,78	11,01	9,03	8,24	10,83	13,64	
GL75-021	30/07/2023 10:53:59	00:00:01	25,25	32,01	37,78	34,98	27,28	34,76	31,83	28,51	23,73	32,37	21,63	18,47	19,87	18,43	15,90	14,22	11,70	10,85	12,34	17,84	19,93	17,83	10,25	8,37	7,40	7,37	8,14	8,81	9,05	7,95	8,21	10,92	13,79	
GL75-021	30/07/2023 10:54:00	00:00:01	24,24	28,67	37,39	31,82	32,19	36,34	28,88	25,93	21,93	32,68	21,83	18,37	19,70	17,22	15,76	14,25	12,30	10,23	12,32	17,46	19,50	18,01	10,74	8,54	7,54	7,54	8,22	8,99	8,96	7,90	8,01	10,77	13,55	
GL75-021	30/07/2023 10:54:01	00:00:01	23,39	27,37	38,54	33,63	29,48	38,96	31,24	25,65	22,06	32,49	20,77	18,28	19,46	19,20	16,44	15,18	11,41	10,19	12,81	17,90	20,27	18,85	10,70	8,52	6,93	6,95	7,29	7,90	7,73	7,42	8,08	10,81	13,69	
